Cluster;RA_ICRS;DE_ICRS;GLON;GLAT;r50;nbstars07;pmRA*;e_pmRA*;pmDE;e_pmDE;plx;e_plx;Flag;AgeNN;AVNN;DMNN;DistPc;X;Y;Z;Rgc;SimbadName;_RA.icrs;_DE.icrs
ASCC_10          ;051.870;+34.981;155.723;-17.770; 0.558;  65; -1.737; 0.159; -1.368; 0.143; 1.459; 0.100;NN            ; 8.42; 0.63; 9.10;   660;   -573;    258;  -201;  8917;[KPR2005] 10                   ;051.8700;+34.9810
ASCC_101         ;288.399;+36.369; 68.028; 11.608; 0.372;  69;  0.934; 0.205;  1.288; 0.258; 2.488; 0.057;NN            ; 8.69; 0.19; 8.08;   412;    151;    374;    83;  8197;[KPR2005] 101                  ;288.3990;+36.3690
ASCC_105         ;295.548;+27.366; 62.825;  2.063; 0.648; 113;  1.464; 0.162; -1.635; 0.145; 1.783; 0.065;NN            ; 7.87; 0.41; 8.77;   567;    259;    504;    20;  8096;[KPR2005] 105                  ;295.5480;+27.3660
ASCC_107         ;297.164;+21.987; 58.904; -1.901; 0.174;  57; -0.155; 0.101; -5.156; 0.115; 1.109; 0.049;NN            ; 7.23; 1.69; 9.70;   870;    449;    744;   -28;  7925;[KPR2005] 107                  ;297.1640;+21.9870
ASCC_108         ;298.306;+39.349; 74.378;  6.074; 0.537; 188; -0.519; 0.099; -1.690; 0.129; 0.838; 0.048;NN            ; 8.03; 0.34;10.32;  1160;    310;   1110;   122;  8105;[KPR2005] 108                  ;298.3060;+39.3490
ASCC_11          ;053.056;+44.856;150.546; -9.224; 0.312; 245;  0.926; 0.163; -3.030; 0.147; 1.141; 0.061;NN            ; 8.39; 0.60; 9.69;   867;   -745;    421;  -139;  9095;[KPR2005] 11                   ;053.0560;+44.8560
ASCC_110         ;300.742;+33.528; 70.411;  1.378; 0.203;  65;  0.271; 0.064; -3.132; 0.050; 0.497; 0.036;NN            ; 8.90; 0.75;11.47;  1971;    660;   1856;    47;  7900;[KPR2005] 110                  ;300.7420;+33.5280
ASCC_111         ;302.891;+37.515; 74.714;  2.056; 0.537; 136; -1.150; 0.151; -1.524; 0.154; 1.166; 0.059;NN            ; 8.44; 0.39; 9.65;   851;    224;    820;    30;  8157;[KPR2005] 111                  ;302.8910;+37.5150
ASCC_113         ;317.933;+38.638; 82.877; -6.589; 0.529; 175;  0.800; 0.125; -3.679; 0.163; 1.762; 0.041;NN            ; 8.46; 0.13; 8.75;   563;     69;    555;   -64;  8289;[KPR2005] 113                  ;317.9330;+38.6380
ASCC_114         ;324.990;+53.997; 97.082;  1.028; 0.216; 134; -3.716; 0.110; -3.421; 0.115; 1.066; 0.037;NN            ; 7.68; 0.92; 9.79;   908;   -111;    901;    16;  8499;[KPR2005] 114                  ;324.9900;+53.9970
