Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,8.0,0.0900000036,1.0816895926,0.09,-2.755,3.4013,4.705,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.31e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.658,13.705,16.472,12.229
0.0152,0.01508,8.0,0.0900000036,1.0816895926,0.09,-2.755,3.4013,4.705,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.31e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.658,13.705,16.472,12.229
0.0152,0.01508,8.0,0.0931724757,1.1114023654,0.093,-2.73,3.4048,4.708,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.44e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.594,13.642,16.41,12.165
0.0152,0.01508,8.0,0.1000000015,1.1711064122,0.1,-2.675,3.4126,4.715,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.73e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.457,13.504,16.274,12.028
0.0152,0.01508,8.0,0.1009421945,1.1789290074,0.101,-2.668,3.4135,4.716,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.77e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.44,13.488,16.258,12.011
0.0152,0.01508,8.0,0.1116046831,1.2613260144,0.112,-2.593,3.4232,4.724,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.22e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.254,13.216,15.878,11.759
0.0152,0.01508,8.0,0.1200000122,1.3193155232,0.12,-2.538,3.431,4.731,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.58e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.116,12.964,15.483,11.533
0.0152,0.01508,8.0,0.1400000006,1.4384526719,0.14,-2.432,3.4434,4.741,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.36e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.849,12.537,14.864,11.144
0.0152,0.01508,8.0,0.1422029436,1.45021478,0.142,-2.421,3.4447,4.742,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.44e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.822,12.494,14.802,11.105
0.0152,0.01508,8.0,0.1599999964,1.5372931554,0.16,-2.338,3.4543,4.75,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.16e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.616,12.167,14.325,10.809
0.0152,0.01508,8.0,0.200000003,1.6938790862,0.2,-2.186,3.4712,4.761,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.72e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.234,11.588,13.5,10.284
