Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,E(B-V)
0,ASCC_10,51.87,34.981,155.723,-17.77,0.558,65,-1.737,-1.368,1.459,NN,8.42,0.63,9.1,660.0,-573.0,258.0,-201.0,8917.0,[KPR2005]10,51.87,34.981,0.175
1,ASCC_101,288.399,36.369,68.028,11.608,0.372,69,0.934,1.288,2.488,NN,8.69,0.19,8.08,412.0,151.0,374.0,83.0,8197.0,[KPR2005]101,288.399,36.369,0.034999996
2,ASCC_105,295.548,27.366,62.825,2.063,0.648,113,1.464,-1.635,1.783,NN,7.87,0.41,8.77,567.0,259.0,504.0,20.0,8096.0,[KPR2005]105,295.548,27.366,0.24076545
3,ASCC_107,297.164,21.987,58.904,-1.901,0.174,57,-0.155,-5.156,1.109,NN,7.23,1.69,9.7,870.0,449.0,744.0,-28.0,7925.0,[KPR2005]107,297.164,21.987,0.375
4,ASCC_108,298.306,39.349,74.378,6.074,0.537,188,-0.519,-1.69,0.838,NN,8.03,0.34,10.32,1160.0,310.0,1110.0,122.0,8105.0,[KPR2005]108,298.306,39.349,0.14999999
5,ASCC_11,53.056,44.856,150.546,-9.224,0.312,245,0.926,-3.03,1.141,NN,8.39,0.6,9.69,867.0,-745.0,421.0,-139.0,9095.0,[KPR2005]11,53.056,44.856,0.27999997
6,ASCC_110,300.742,33.528,70.411,1.378,0.203,65,0.271,-3.132,0.497,NN,8.9,0.75,11.47,1971.0,660.0,1856.0,47.0,7900.0,[KPR2005]110,300.742,33.528,0.35393733
7,ASCC_111,302.891,37.515,74.714,2.056,0.537,136,-1.15,-1.524,1.166,NN,8.44,0.39,9.65,851.0,224.0,820.0,30.0,8157.0,[KPR2005]111,302.891,37.515,0.2409859
8,ASCC_113,317.933,38.638,82.877,-6.589,0.529,175,0.8,-3.679,1.762,NN,8.46,0.13,8.75,563.0,69.0,555.0,-64.0,8289.0,[KPR2005]113,317.933,38.638,0.19020335
9,ASCC_114,324.99,53.997,97.082,1.028,0.216,134,-3.716,-3.421,1.066,NN,7.68,0.92,9.79,908.0,-111.0,901.0,16.0,8499.0,[KPR2005]114,324.99,53.997,0.35
10,ASCC_115,329.28,51.558,97.528,-2.504,0.25,32,-0.549,-0.543,1.311,NN,8.12,0.72,9.32,731.0,-95.0,724.0,-31.0,8466.0,[KPR2005]115,329.28,51.558,0.33778346
11,ASCC_12,72.4,41.744,162.986,-1.893,0.303,139,-0.634,-2.794,0.941,NN,7.97,0.7,10.1,1048.0,-1002.0,306.0,-34.0,9347.0,[KPR2005]12,72.4,41.744,0.24407224
12,ASCC_123,340.299,53.986,104.434,-4.141,1.294,49,12.093,-1.407,4.262,NN,7.65,0.0,6.81,229.0,-57.0,222.0,-16.0,8400.0,[KPR2005]123,340.2989,53.986,0.033605155
13,ASCC_127,347.205,64.974,112.349,4.232,0.627,117,7.474,-1.745,2.633,NN,7.26,0.43,7.88,376.0,-142.0,347.0,27.0,8490.0,[KPR2005]127,347.2049,64.974,0.30003756
14,ASCC_128,349.949,54.435,109.77,-6.078,0.513,68,1.236,0.186,1.509,NN,8.4,0.41,9.13,669.0,-225.0,626.0,-70.0,8587.0,[KPR2005]128,349.949,54.435,0.155
15,ASCC_13,78.255,44.417,163.502,3.122,0.609,85,-0.473,-1.743,0.898,NN,7.5,0.7,10.24,1115.0,-1067.0,316.0,60.0,9412.0,[KPR2005]13,78.255,44.417,0.23445497
16,ASCC_16,81.198,1.655,201.139,-18.373,0.376,175,1.355,-0.015,2.838,NN,7.13,0.2,7.69,344.0,-305.0,-118.0,-108.0,8646.0,[KPR2005]16,81.198,1.655,0.089999996
17,ASCC_19,81.982,-1.987,204.914,-19.438,0.605,149,1.152,-1.234,2.768,NN,7.02,0.13,7.7,346.0,-296.0,-137.0,-115.0,8637.0,[KPR2005]19,81.982,-1.987,0.114999995
18,ASCC_21,82.179,3.527,199.938,-16.598,0.41,90,1.404,-0.632,2.866,NN,6.95,0.1,7.66,341.0,-307.0,-111.0,-97.0,8647.0,[KPR2005]21,82.179,3.527,0.145
19,ASCC_23,95.047,46.71,167.472,14.416,0.319,120,1.098,-0.598,1.594,NN,8.37,0.34,9.0,630.0,-595.0,132.0,156.0,8936.0,[KPR2005]23,95.047,46.71,0.12
20,ASCC_29,103.571,-1.67,214.743,-0.128,0.137,46,-1.008,-1.019,0.944,NN,7.97,0.19,10.12,1057.0,-869.0,-602.0,-2.0,9229.0,[KPR2005]29,103.571,-1.67,0.034815
21,ASCC_30,104.271,-6.23,219.119,-1.587,0.27,46,-1.595,-0.171,0.897,NN,8.24,0.35,10.14,1067.0,-827.0,-673.0,-29.0,9192.0,[KPR2005]30,104.271,-6.23,0.14063287
22,ASCC_32,105.714,-26.512,237.976,-9.433,0.656,186,-3.307,3.477,1.23,NN,7.4,0.26,9.53,805.0,-421.0,-673.0,-132.0,8787.0,[KPR2005]32,105.714,-26.512,0.04
23,ASCC_41,116.674,0.137,219.206,12.333,0.679,123,0.646,-3.99,3.352,NN,8.33,0.0,7.39,300.0,-227.0,-185.0,64.0,8569.0,[KPR2005]41,116.674,0.137,0.01
24,ASCC_58,153.657,-55.001,281.671,1.263,0.592,133,-13.276,2.786,2.06,NN,7.72,0.25,8.46,491.0,99.0,-480.0,10.0,8254.0,[KPR2005]58,153.6571,-55.001,
25,ASCC_6,26.846,57.722,130.369,-4.34,0.188,111,-0.838,0.211,0.621,NN,7.54,0.72,11.01,1590.0,-1027.0,1208.0,-120.0,9444.0,[KPR2005]6,26.846,57.722,0.23807366
26,ASCC_66,168.367,-55.437,289.28,4.816,0.097,22,-11.331,2.969,0.999,NN,7.77,0.07,9.94,971.0,319.0,-913.0,81.0,8072.0,[KPR2005]66,168.3671,-55.437,
27,ASCC_67,175.28,-61.013,294.515,0.704,0.183,26,-6.766,0.919,0.482,NN,7.57,0.58,11.5,1999.0,829.0,-1818.0,24.0,7727.0,[KPR2005]67,175.2801,-61.013,
28,ASCC_71,185.033,-67.509,299.936,-4.82,0.255,76,-9.272,-1.351,0.786,NN,8.11,0.53,10.52,1269.0,631.0,-1096.0,-106.0,7786.0,[KPR2005]71,185.0331,-67.509,
29,ASCC_73,189.281,-67.203,301.542,-4.37,0.988,57,-11.539,-2.945,1.518,NN,8.53,0.23,9.08,655.0,341.0,-556.0,-49.0,8017.0,[KPR2005]73,189.2811,-67.203,
30,ASCC_77,212.694,-62.331,311.999,-0.864,0.179,141,-4.243,-3.22,0.842,NN,7.91,0.64,10.28,1136.0,760.0,-844.0,-17.0,7626.0,[KPR2005]77,212.694,-62.331,
31,ASCC_79,229.731,-60.798,319.977,-2.905,0.98,113,-2.914,-4.232,1.176,NN,7.27,0.41,9.58,825.0,631.0,-529.0,-41.0,7727.0,[KPR2005]79,229.731,-60.798,
32,ASCC_85,251.853,-45.555,339.815,-0.259,0.357,105,0.17,-4.102,1.119,NN,7.85,0.56,9.59,829.0,778.0,-286.0,-3.0,7567.0,[KPR2005]85,251.853,-45.555,
33,ASCC_87,255.658,-28.421,355.125,8.093,0.347,45,-1.18,-3.814,1.27,NN,7.92,0.57,9.45,774.0,764.0,-65.0,109.0,7575.0,[KPR2005]87,255.658,-28.421,0.265
