Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,8.7,0.0900000036,1.0816895926,0.09,-3.268,3.3747,5.112,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.34e-17,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,12.941,14.991,17.876,13.503
0.0152,0.01508,8.7,0.0900000036,1.0816895926,0.09,-3.268,3.3747,5.112,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.34e-17,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,12.941,14.991,17.876,13.503
0.0152,0.01508,8.7,0.0930345431,1.1101380049,0.093,-3.235,3.3804,5.115,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.7e-17,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,12.857,14.906,17.793,13.419
0.0152,0.01508,8.7,0.0949525759,1.1275044434,0.095,-3.212,3.3841,5.116,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.97e-17,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,12.8,14.85,17.737,13.362
0.0152,0.01508,8.7,0.1000000015,1.1711064122,0.1,-3.151,3.3938,5.116,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.84e-17,0.0,0.7092,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,12.647,14.697,17.584,13.209
0.0152,0.01508,8.7,0.1077303663,1.2326168238,0.108,-3.069,3.4058,5.114,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.15e-17,0.0,0.7091,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,12.442,14.491,17.378,13.004
0.0152,0.01508,8.7,0.1200000122,1.3193155232,0.12,-2.931,3.4247,5.098,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.21e-16,0.0,0.7091,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,12.097,14.04,16.776,12.578
0.0152,0.01508,8.7,0.1400000006,1.4384526719,0.14,-2.766,3.4434,5.075,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.68e-16,0.0,0.7091,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,11.685,13.376,15.777,11.973
0.0152,0.01508,8.7,0.1501587033,1.4907977833,0.15,-2.701,3.4501,5.068,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.9e-16,0.0,0.7091,0.2757,0.002746,0.0007408,0.006719,-1.0,0.01527,11.523,13.127,15.416,11.746
0.0152,0.01508,8.7,0.1599999964,1.5372931554,0.16,-2.638,3.4565,5.058,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.15e-16,0.0,0.709,0.2757,0.002746,0.0007408,0.006719,-1.0,0.01527,11.364,12.888,15.066,11.529
